state,district,geoname_id
Sikkim,Soreng,12680262
Tamil Nadu,Chengalpattu,12212751
Tamil Nadu,Kallakurichi,12212752
Tamil Nadu,Kanyakumari,1268009
Tamil Nadu,Nagapattinam,7627073
Tamil Nadu,Nilgiris,1261391
Tamil Nadu,Ranipet,12212753
Tamil Nadu,Tenkasi,12212754
Tamil Nadu,Theni,7646155
Tamil Nadu,Thanjavur,1254650
Tamil Nadu,Tirupattur,12212767
Tamil Nadu,Tiruvarur,7646980
Tamil Nadu,Viluppuram,7646150
Tamil Nadu,Virudhunagar,7646157
Telangana,Bhadradri Kothagudem,11875556
Telangana,Hanamkonda,11875560
Telangana,Jayashankar Bhupalapally,11875554
Telangana,Jogulamba Gadwal,11875553
Telangana,Kamareddy,11875552
Telangana,Kumuram Bheem Asifabad,11875577
Telangana,Mahabubabad,11875551
Telangana,Mancherial,11875550
Telangana,Medchal Malkajgiri,11875548
Telangana,Mulugu,12572551
Telangana,Nagarkurnool,11875547
Telangana,Rajanna Sircilla,11875545
Telangana,Ranga Reddy,7626856
Telangana,Sangareddy,11875544
Telangana,Suryapet,11875541
Telangana,Wanaparthy,11875559
Telangana,Yadadri Bhuvanagiri,11875561
Tripura,Dhalai,9747971
Tripura,Gomati,11875562
Tripura,Khowai,11875565
Tripura,North Tripura,1261174
Tripura,Sepahijala,11875564
Tripura,South Tripura,1255671
Tripura,Unakoti,11875563
Tripura,West Tripura,1252864
Uttar Pradesh,Ambedkar Nagar,7729743
Uttar Pradesh,Ayodhya,1271977
Uttar Pradesh,Bagpat,9072781
Uttar Pradesh,Bahraich,1277800
Uttar Pradesh,Ballia,1277553
Uttar Pradesh,Barabanki,1277159
Uttar Pradesh,Chitrakoot,9072788
Uttar Pradesh,Etah,1271993
Uttar Pradesh,Gautam Buddha Nagar,9072784
Uttar Pradesh,Gonda,1270997
Uttar Pradesh,Kanpur Dehat,7729747
Uttar Pradesh,Kanpur Nagar,1267997
Uttar Pradesh,Kaushambi,9072745
Uttar Pradesh,Kushinagar,7626229
Uttar Pradesh,Kheri,1266768
Uttar Pradesh,Prayagraj,1278995
Uttar Pradesh,Sant Kabir Nagar,9748030
Uttar Pradesh,Shahjahanpur,1256729
Uttar Pradesh,Shamli,11875566
Uttar Pradesh,Shravasti,7626227
Uttar Pradesh,Siddharthnagar,7626228
Uttar Pradesh,Sonbhadra,9748013
Uttarakhand,Chamoli,1274839
Uttarakhand,Dehradun,9072830
Uttarakhand,Nainital,1262118
Uttarakhand,Pauri Garhwal,1271535
Uttarakhand,Tehri Garhwal,1254807
Uttarakhand,Udham Singh Nagar,7701516
West Bengal,Alipurduar,11875573
West Bengal,Birbhum,1275525
West Bengal,Cooch Behar,1266437
West Bengal,Dakshin Dinajpur,8299687
West Bengal,Darjeeling,1273468
West Bengal,Hooghly,1269911
West Bengal,Howrah,1270397
West Bengal,Maldah,1264122
West Bengal,Nadia,1262293
West Bengal,North 24 Parganas,8335144
West Bengal,Paschim Bardhaman,11875580
West Bengal,Paschim Medinipur,8335137
West Bengal,Purba Bardhaman,1277030
West Bengal,Purba Medinipur,8335139
West Bengal,Purulia,1259164
West Bengal,South 24 Parganas,8335041
West Bengal,Uttar Dinajpur,8335142
Andaman and Nicobar,Nicobar,1261448
Andaman and Nicobar,North and Middle Andaman,9748018
Andaman and Nicobar,South Andaman,1278648
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,9747961
Dadra and Nagar Haveli and Daman and Diu,Daman,1273616
Dadra and Nagar Haveli and Daman and Diu,Diu,1272504
Jammu and Kashmir,Budgam,9747938
Jammu and Kashmir,Bandipore,9747936
Jammu and Kashmir,Baramulla,1277086
Jammu and Kashmir,Ganderbal,9748040
Jammu and Kashmir,Poonch,9747990
Jammu and Kashmir,Rajouri,1258892
Jammu and Kashmir,Reasi,9747996
Jammu and Kashmir,Shopian,9748009
Ladakh,Kargil,9748001
Ladakh,Leh,1265343
Lakshadweep,Lakshadweep,9748019
National Capital Territory of Delhi,Central Delhi,8335421
National Capital Territory of Delhi,East Delhi,8335424
National Capital Territory of Delhi,New Delhi,8347332
National Capital Territory of Delhi,North Delhi,8335422
National Capital Territory of Delhi,North East Delhi,8335425
National Capital Territory of Delhi,North West Delhi,8335427
National Capital Territory of Delhi,Shahdara,11875526
National Capital Territory of Delhi,South Delhi,8335423
National Capital Territory of Delhi,South West Delhi,8335426
National Capital Territory of Delhi,West Delhi,8335458
Puducherry,Yanam,1252796
