state_name,matched_state,state_score,district_name,matched_district,district_score,geoname_id
West Bengal,West Bengal,100.0,Dakshin Dinajpur,Dakshin Dinajpur,100.0,8299687
West Bengal,West Bengal,100.0,Darjeeling,Darjeeling,100.0,1273468
West Bengal,West Bengal,100.0,Hooghly,Hooghly,100.0,1269911
West Bengal,West Bengal,100.0,Howrah,Howrah,100.0,1270397
West Bengal,West Bengal,100.0,Maldah,Maldah,100.0,1264122
West Bengal,West Bengal,100.0,Nadia,Nadia,100.0,1262293
West Bengal,West Bengal,100.0,North 24 Parganas,North 24 Parganas,100.0,8335144
West Bengal,West Bengal,100.0,Paschim Bardhaman,Paschim Bardhaman,100.0,11875580
West Bengal,West Bengal,100.0,Paschim Medinipur,Paschim Medinipur,100.0,8335137
West Bengal,West Bengal,100.0,Purba Bardhaman,Purba Bardhaman,100.0,1277030
West Bengal,West Bengal,100.0,Purba Medinipur,Purba Medinipur,100.0,8335139
West Bengal,West Bengal,100.0,Purulia,Purulia,100.0,1259164
West Bengal,West Bengal,100.0,South 24 Parganas,South 24 Parganas,100.0,8335041
West Bengal,West Bengal,100.0,Uttar Dinajpur,Uttar Dinajpur,100.0,8335142
Andaman and Nicobar,Andaman and Nicobar,100.0,Nicobar,Nicobar,100.0,1261448
Andaman and Nicobar,Andaman and Nicobar,100.0,North and Middle Andaman,North and Middle Andaman,100.0,9748018
Andaman and Nicobar,Andaman and Nicobar,100.0,South Andaman,South Andaman,100.0,1278648
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,100.0,Dadra and Nagar Haveli,Dadra and Nagar Haveli,100.0,9747961
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,100.0,Daman,Daman,100.0,1273616
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,100.0,Diu,Diu,100.0,1272504
Jammu and Kashmir,Jammu and Kashmir,100.0,Budgam,Budgam,100.0,9747938
Jammu and Kashmir,Jammu and Kashmir,100.0,Bandipore,Bandipore,100.0,9747936
Jammu and Kashmir,Jammu and Kashmir,100.0,Baramulla,Baramulla,100.0,1277086
Jammu and Kashmir,Jammu and Kashmir,100.0,Ganderbal,Ganderbal,100.0,9748040
Jammu and Kashmir,Jammu and Kashmir,100.0,Poonch,Poonch,100.0,9747990
